Date,Type,Name,Start,End,Duration
2/1/15,place,Place in Gainesville,2015-02-01T00:00:00-05:00,2015-02-01T10:15:19-05:00,36919
2/1/15,move,walking,2015-02-01T10:15:19-05:00,2015-02-01T10:32:31-05:00,1032
2/1/15,place,Place in Gainesville,2015-02-01T10:32:30-05:00,2015-02-01T12:28:05-05:00,6935
2/1/15,move,walking,2015-02-01T12:28:05-05:00,2015-02-01T12:39:05-05:00,660
2/1/15,place,Place in Gainesville,2015-02-01T12:39:05-05:00,2015-02-01T14:54:36-05:00,8131
2/1/15,move,cycling,2015-02-01T14:54:36-05:00,2015-02-01T14:58:55-05:00,259
2/1/15,place,Place in Gainesville,2015-02-01T14:58:54-05:00,2015-02-01T15:38:16-05:00,2362
2/1/15,move,transport,2015-02-01T15:38:16-05:00,2015-02-01T15:42:23-05:00,247
2/1/15,place,Place in Gainesville,2015-02-01T15:42:23-05:00,2015-02-01T18:52:38-05:00,11415
2/1/15,move,walking,2015-02-01T18:52:38-05:00,2015-02-01T19:00:19-05:00,461
2/1/15,place,Place in Gainesville,2015-02-01T19:00:18-05:00,2015-02-01T19:03:46-05:00,208
2/1/15,move,walking,2015-02-01T19:03:46-05:00,2015-02-01T20:14:14-05:00,4228
2/1/15,place,Place in Gainesville,2015-02-01T20:14:14-05:00,2015-02-01T20:20:04-05:00,350
2/1/15,move,transport,2015-02-01T20:20:04-05:00,2015-02-01T20:29:39-05:00,575
2/1/15,place,Place in Gainesville,2015-02-01T20:29:39-05:00,2015-02-01T21:14:05-05:00,2666
2/1/15,move,transport,2015-02-01T21:14:05-05:00,2015-02-01T21:24:22-05:00,617
2/1/15,move,walking,2015-02-01T21:24:22-05:00,2015-02-01T22:21:20-05:00,3418
2/1/15,place,Place in Gainesville,2015-02-01T22:21:20-05:00,2015-02-01T22:37:38-05:00,978
2/1/15,move,walking,2015-02-01T22:37:38-05:00,2015-02-01T22:43:38-05:00,360
2/1/15,place,Place in Gainesville,2015-02-01T22:53:42-05:00,2015-02-02T00:00:00-05:00,3978
